run_id,task,condition,provider,model,temperature,rep,value,n,error
T3_C0_google_r6,T3,C0,google,gemini-pro-latest,1.0,6,0.6696719536879615,342,
T3_C4_google_r5,T3,C4,google,gemini-pro-latest,1.0,5,0.6696719536879615,342,
T3_C4_google_r4,T3,C4,google,gemini-pro-latest,1.0,4,0.6696719536879615,342,
T3_C4_google_r6,T3,C4,google,gemini-pro-latest,1.0,6,0.6696719536879615,342,
T4_C0_google_r1,T4,C0,google,gemini-pro-latest,1.0,1,3.2952064217134107,41,
T4_C0_google_r2,T4,C0,google,gemini-pro-latest,1.0,2,3.2952064217134107,41,
T4_C0_google_r3,T4,C0,google,gemini-pro-latest,1.0,3,3.2952064217134107,41,
T4_C0_google_r4,T4,C0,google,gemini-pro-latest,1.0,4,3.2952064217134107,41,
T4_C0_google_r6,T4,C0,google,gemini-pro-latest,1.0,6,3.2952064217134107,41,
T4_C0_google_r5,T4,C0,google,gemini-pro-latest,1.0,5,3.2952064217134107,41,
T4_C4_google_r2,T4,C4,google,gemini-pro-latest,1.0,2,3.4641913664166615,39,
T4_C4_google_r1,T4,C4,google,gemini-pro-latest,1.0,1,3.4641913664166615,39,
T4_C4_google_r3,T4,C4,google,gemini-pro-latest,1.0,3,3.4641913664166615,39,
T4_C4_google_r5,T4,C4,google,gemini-pro-latest,1.0,5,3.4641913664166615,39,
T4_C4_google_r4,T4,C4,google,gemini-pro-latest,1.0,4,3.4641913664166615,39,
T4_C4_google_r6,T4,C4,google,gemini-pro-latest,1.0,6,3.4641913664166615,39,
